Valid,sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,ResponseID,pid,Check,solar,System_Random1,System_Random2,System_Random3,System_Random4,System_Random5,System_Random6,System_Random7,System_Fixed1,System_Random8,System_Random9,System_Random10,System_Random11,System_Random12,System_Random13,System_Random14,System_Random15,sys_CBCVersion_System,sys_CBCDesignID_System,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
1,51,22 Nov 2016 - 17:10:11 EST,22 Nov 2016 - 17:13:30 EST,0h 3m 19s,0h 3m 17s,1479852611,1479852810,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,99.64.172.8,1600,,R_0Il0wTWoqYoqIox,R_0Il0wTWoqYoqIox,1,No,4,4,2,2,4,4,4,4,4,4,4,4,2,4,1,4,51,CBC2_1479576680_6,,27,22,20,9,23,9,9,6,10,8,10,6,14,8,8,8
1,37,22 Nov 2016 - 16:41:36 EST,22 Nov 2016 - 16:44:43 EST,0h 3m 7s,0h 3m 6s,1479850896,1479851083,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 5.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows XP,Firefox 50.0,68.189.32.91,1024,,R_12DM9cYRbERl70d,R_12DM9cYRbERl70d,1,No,4,1,3,2,2,2,2,4,3,4,4,3,4,2,4,4,37,CBC2_1479576680_6,,26,13,13,12,10,10,19,8,10,7,7,13,6,15,7,10
1,77,22 Nov 2016 - 17:44:53 EST,22 Nov 2016 - 17:47:22 EST,0h 2m 29s,0h 2m 28s,1479854693,1479854842,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,72.47.20.25,1366,,R_1BVo5gqwQe36lox,R_1BVo5gqwQe36lox,1,Yes,3,1,3,2,1,2,2,3,2,3,1,3,3,2,1,2,77,CBC2_1479576680_6,,26,13,9,9,8,10,5,9,10,7,8,6,9,6,5,8
1,159,22 Nov 2016 - 21:32:17 EST,22 Nov 2016 - 21:39:10 EST,0h 6m 53s,0h 6m 52s,1479868337,1479868750,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,45.48.59.37,1680,,R_1Cp55fmGoi0OoOj,R_1Cp55fmGoi0OoOj,1,No,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,159,CBC2_1479576680_6,,56,17,12,62,13,54,22,34,20,19,10,28,6,37,15,7
1,24,22 Nov 2016 - 16:09:49 EST,22 Nov 2016 - 16:12:53 EST,0h 3m 4s,0h 3m 4s,1479848989,1479849173,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,130.65.109.111,1366,,R_1excQwWLW5FCDaV,R_1excQwWLW5FCDaV,1,No,3,4,3,4,4,2,4,3,4,4,4,1,4,4,3,4,24,CBC2_1479576680_6,,24,15,15,7,8,10,9,11,8,9,10,11,7,14,19,7
1,42,22 Nov 2016 - 16:49:27 EST,22 Nov 2016 - 16:54:09 EST,0h 4m 42s,0h 4m 41s,1479851367,1479851649,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,97.84.107.234,1344,,R_1fa1mEj3LFfy9Tv,R_1fa1mEj3LFfy9Tv,1,No,2,2,3,4,2,2,4,3,4,4,4,4,4,3,4,4,42,CBC2_1479576680_6,,29,32,18,25,12,12,20,17,16,17,14,10,14,14,16,15
1,67,22 Nov 2016 - 17:22:23 EST,22 Nov 2016 - 17:25:42 EST,0h 3m 19s,0h 3m 18s,1479853343,1479853542,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",iOS 9.3.5,Safari 9.0,71.93.240.27,768,,R_1gNGin72iadR9X2,R_1gNGin72iadR9X2,1,No,2,3,1,1,4,2,1,3,3,3,2,1,4,1,2,4,67,CBC2_1479576680_6,,12,14,10,12,10,9,9,13,13,32,11,11,14,11,9,8
1,109,22 Nov 2016 - 18:55:53 EST,22 Nov 2016 - 19:06:17 EST,0h 10m 24s,0h 10m 23s,1479858953,1479859577,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,72.74.207.175,1024,,R_1GOoMLxg1hICmpk,R_1GOoMLxg1hICmpk,1,No,3,2,3,2,3,1,3,3,1,4,3,4,2,3,3,4,109,CBC2_1479576680_6,,176,33,25,28,38,79,30,21,25,19,16,20,25,24,13,51
1,62,22 Nov 2016 - 17:20:21 EST,22 Nov 2016 - 17:26:12 EST,0h 5m 51s,0h 5m 49s,1479853221,1479853572,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4",iOS 8.1.2,Safari 8.0,108.7.222.14,768,,R_1gRNfqN6snnfXGj,R_1gRNfqN6snnfXGj,1,No,2,1,2,2,1,2,2,3,1,2,2,2,2,3,3,2,62,CBC2_1479576680_6,,9,43,6,5,11,6,43,19,16,53,25,9,19,46,11,28
1,149,22 Nov 2016 - 19:59:12 EST,22 Nov 2016 - 20:23:35 EST,0h 24m 23s,0h 24m 23s,1479862752,1479864215,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,75.134.12.149,1360,,R_1gvgBsVFhMuzCCN,R_1gvgBsVFhMuzCCN,1,No,3,2,2,2,2,2,1,3,3,1,2,2,1,1,1,2,149,CBC2_1479576680_6,,81,34,22,29,411,21,46,80,68,415,24,36,27,25,41,103
1,56,22 Nov 2016 - 17:15:19 EST,22 Nov 2016 - 17:23:23 EST,0h 8m 4s,0h 8m 2s,1479852919,1479853403,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; rv:49.0) Gecko/20100101 Firefox/49.0,Windows 10.0,Firefox 49.0,47.142.175.141,1536,,R_1HuFE2hFIAw0RYF,R_1HuFE2hFIAw0RYF,1,No,2,2,4,1,3,4,1,3,4,4,1,4,1,4,3,4,56,CBC2_1479576680_6,,38,63,46,12,18,12,40,12,24,20,21,76,9,13,60,18
1,85,22 Nov 2016 - 17:57:08 EST,22 Nov 2016 - 17:59:07 EST,0h 1m 59s,0h 1m 57s,1479855428,1479855547,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,47.154.168.39,1280,,R_1jANTm6yTtMmOiy,R_1jANTm6yTtMmOiy,1,No,3,2,3,3,3,1,2,3,2,1,3,2,1,3,2,1,85,CBC2_1479576680_6,,13,5,6,7,8,7,5,9,6,9,5,8,5,9,6,9
1,29,22 Nov 2016 - 16:30:22 EST,22 Nov 2016 - 16:33:00 EST,0h 2m 38s,0h 2m 36s,1479850222,1479850380,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 7,Firefox 50.0,162.236.134.176,1124,,R_1JPYEnDoCXp9Sbv,R_1JPYEnDoCXp9Sbv,1,No,2,4,4,4,3,1,4,3,4,3,4,3,4,4,4,2,29,CBC2_1479576680_6,,24,11,9,8,7,12,9,11,8,9,10,8,8,8,7,7
1,46,22 Nov 2016 - 17:00:35 EST,22 Nov 2016 - 17:03:06 EST,0h 2m 31s,0h 2m 29s,1479852035,1479852186,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",Windows 10.0,Chrome 54.0.2840.71,107.204.218.82,1280,,R_1Lha0flgAUtKif1,R_1Lha0flgAUtKif1,1,No,2,1,1,1,3,3,2,3,3,3,1,1,3,1,3,1,46,CBC2_1479576680_6,,6,13,8,6,8,13,6,12,9,7,7,11,6,6,20,11
1,76,22 Nov 2016 - 17:44:12 EST,22 Nov 2016 - 17:50:16 EST,0h 6m 4s,0h 6m 2s,1479854652,1479855016,1,5,,ToQualtrics,1,"Mozilla/5.0 (Linux; Android 4.4.2; SM-T217S Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Safari/537.36",Android 4.4.2,Chrome 50.0.2661.89,73.170.60.229,600,,R_1mDy8tgdIe7CEd9,R_1mDy8tgdIe7CEd9,1,No,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,76,CBC2_1479576680_6,,182,37,10,9,12,9,16,9,6,6,16,7,9,20,6,8
1,142,22 Nov 2016 - 19:48:49 EST,22 Nov 2016 - 19:52:24 EST,0h 3m 35s,0h 3m 31s,1479862129,1479862344,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,162.224.158.27,1024,,R_1o290F53uvNACJV,R_1o290F53uvNACJV,1,No,2,2,4,4,3,3,1,3,1,2,3,3,3,4,3,4,142,CBC2_1479576680_6,,26,9,19,14,29,10,11,14,16,8,10,7,9,11,6,12
1,81,22 Nov 2016 - 17:50:35 EST,22 Nov 2016 - 18:02:59 EST,0h 12m 24s,0h 12m 23s,1479855035,1479855779,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,38.95.109.58,1440,,R_1o58b2hAeYM8E6c,R_1o58b2hAeYM8E6c,1,No,2,2,3,2,2,1,2,3,3,3,3,3,3,1,3,2,81,CBC2_1479576680_6,,15,6,10,5,439,17,89,15,17,8,18,12,4,14,67,7
1,82,22 Nov 2016 - 17:53:17 EST,22 Nov 2016 - 17:56:01 EST,0h 2m 44s,0h 2m 44s,1479855197,1479855361,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,50.189.235.191,1440,,R_1pVCT2f3rfjDRiT,R_1pVCT2f3rfjDRiT,1,Yes,2,3,3,1,1,2,4,3,3,3,1,1,2,1,1,2,82,CBC2_1479576680_6,,16,12,13,10,10,9,7,14,13,6,8,9,7,11,11,8
1,30,22 Nov 2016 - 16:31:09 EST,22 Nov 2016 - 16:32:51 EST,0h 1m 42s,0h 1m 41s,1479850269,1479850371,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.10.5,Chrome 54.0.2840.98,108.243.189.148,1280,,R_1pVYWpWu940qOBO,R_1pVYWpWu940qOBO,1,No,2,3,1,2,3,2,1,3,3,2,1,2,3,3,3,3,30,CBC2_1479576680_6,,20,5,5,4,7,4,4,7,5,5,4,4,6,4,8,9
1,68,22 Nov 2016 - 17:25:35 EST,22 Nov 2016 - 17:28:59 EST,0h 3m 24s,0h 3m 19s,1479853535,1479853739,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,68.4.227.11,1024,,R_1QsXaC2BWLixnfK,R_1QsXaC2BWLixnfK,1,No,2,3,3,1,3,2,4,3,1,4,2,2,2,4,3,3,68,CBC2_1479576680_6,,16,13,12,8,9,7,30,9,11,10,30,6,13,11,7,7
1,40,22 Nov 2016 - 16:43:38 EST,22 Nov 2016 - 16:48:28 EST,0h 4m 50s,0h 4m 49s,1479851018,1479851308,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,24.60.63.207,1152,,R_22LALLkxQVJO2Bg,R_22LALLkxQVJO2Bg,1,No,3,2,4,2,1,3,2,3,3,1,3,3,2,1,2,3,40,CBC2_1479576680_6,,29,32,16,19,17,17,10,18,32,14,11,15,13,18,12,16
1,48,22 Nov 2016 - 17:05:01 EST,22 Nov 2016 - 17:06:52 EST,0h 1m 51s,0h 1m 48s,1479852301,1479852412,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,173.166.31.14,1600,,R_23m6pWx4WVet4J3,R_23m6pWx4WVet4J3,1,No,2,4,4,2,1,1,3,3,1,4,4,2,1,3,3,1,48,CBC2_1479576680_6,,13,6,11,7,7,5,5,7,6,9,4,4,7,5,5,7
1,72,22 Nov 2016 - 17:39:46 EST,22 Nov 2016 - 17:50:21 EST,0h 10m 35s,0h 10m 34s,1479854386,1479855021,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; yie10; rv:11.0) like Gecko,Windows 10.0,MSIE 11.0,108.197.232.203,1079,,R_241pEL4Bpd2Jf3P,R_241pEL4Bpd2Jf3P,1,No,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,72,CBC2_1479576680_6,,120,59,107,17,32,23,26,35,24,63,16,29,15,19,24,25
1,120,22 Nov 2016 - 19:14:28 EST,22 Nov 2016 - 19:16:40 EST,0h 2m 12s,0h 2m 10s,1479860068,1479860200,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,108.20.152.246,1366,,R_248bsatWMYb9KCc,R_248bsatWMYb9KCc,1,No,1,1,4,1,3,2,4,4,4,1,3,2,2,4,2,3,120,CBC2_1479576680_6,,13,7,11,8,8,18,5,5,5,6,10,7,8,7,4,8
1,41,22 Nov 2016 - 16:45:12 EST,22 Nov 2016 - 16:47:05 EST,0h 1m 53s,0h 1m 51s,1479851112,1479851225,1,5,,ToQualtrics,1,"Mozilla/5.0 (Linux; Android 5.1.1; KFARWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/53.3.5 like Chrome/53.0.2785.134 Safari/537.36",Android 5.1.1,Chrome 53.0.2785.134,75.83.64.84,812,,R_24pfE4tct3bvlh7,R_24pfE4tct3bvlh7,1,No,2,4,1,4,2,4,1,4,4,1,3,2,3,4,1,1,41,CBC2_1479576680_6,,31,10,9,6,5,5,5,5,6,5,4,4,3,4,5,4
1,155,22 Nov 2016 - 20:22:19 EST,22 Nov 2016 - 20:24:22 EST,0h 2m 3s,0h 2m 2s,1479864139,1479864262,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.10.5,Chrome 54.0.2840.98,68.186.250.17,1366,,R_28M0LlA38QPncLg,R_28M0LlA38QPncLg,1,No,1,3,4,4,4,2,3,3,1,4,3,4,3,4,3,3,155,CBC2_1479576680_6,,12,8,9,7,9,6,8,9,6,8,4,6,5,5,8,12
1,58,22 Nov 2016 - 17:16:31 EST,22 Nov 2016 - 17:21:56 EST,0h 5m 25s,0h 5m 25s,1479852991,1479853316,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",,Safari 602.1,108.207.0.207,1024,,R_28OE3HUpyuPLoqr,R_28OE3HUpyuPLoqr,1,No,4,3,3,2,4,2,4,3,4,4,3,4,1,4,4,4,58,CBC2_1479576680_6,,38,19,28,28,17,14,24,26,26,22,15,12,27,12,8,9
1,70,22 Nov 2016 - 17:38:33 EST,22 Nov 2016 - 17:42:38 EST,0h 4m 5s,0h 4m 4s,1479854313,1479854558,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; MAGWJS; rv:11.0) like Gecko,Windows 8.1,MSIE 11.0,97.71.76.171,1280,,R_29olcwdyxcyrR6A,R_29olcwdyxcyrR6A,1,No,2,3,4,2,4,3,4,3,2,1,2,3,1,2,1,3,70,CBC2_1479576680_6,,22,26,18,14,14,15,14,19,16,13,20,11,9,9,12,12
1,116,22 Nov 2016 - 19:08:28 EST,22 Nov 2016 - 19:14:31 EST,0h 6m 3s,0h 6m 3s,1479859708,1479860071,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,98.216.126.215,1536,,R_2A0TAzTKKeysBog,R_2A0TAzTKKeysBog,1,No,1,4,1,1,4,3,4,3,2,4,1,3,4,2,2,3,116,CBC2_1479576680_6,,32,26,14,24,19,14,62,21,13,17,19,10,21,14,15,42
1,124,22 Nov 2016 - 19:20:26 EST,22 Nov 2016 - 19:25:39 EST,0h 5m 13s,0h 5m 11s,1479860426,1479860739,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 7,Firefox 50.0,104.35.135.222,1129,,R_2aJEqiwBNWlTs0m,R_2aJEqiwBNWlTs0m,1,No,3,1,2,4,2,2,1,3,4,4,3,3,3,4,2,4,124,CBC2_1479576680_6,,18,35,18,31,12,23,34,12,13,22,17,16,13,15,13,19
1,100,22 Nov 2016 - 18:36:49 EST,22 Nov 2016 - 18:39:03 EST,0h 2m 14s,0h 2m 13s,1479857809,1479857943,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",Windows 10.0,Edge 13.10586,107.185.206.245,1536,,R_2aqXku8h2SDx6IJ,R_2aqXku8h2SDx6IJ,1,No,3,4,4,4,4,4,4,3,2,2,4,4,3,1,4,4,100,CBC2_1479576680_6,,12,10,6,5,7,14,9,10,6,8,7,8,9,12,5,5
1,137,22 Nov 2016 - 19:42:00 EST,22 Nov 2016 - 19:45:14 EST,0h 3m 14s,0h 3m 13s,1479861720,1479861914,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,73.100.81.86,1366,,R_2aUMIpBghNiYnqq,R_2aUMIpBghNiYnqq,1,No,4,3,2,4,1,4,4,3,3,3,4,1,1,4,2,1,137,CBC2_1479576680_6,,23,8,12,11,10,6,20,11,18,6,9,10,10,15,10,14
1,117,22 Nov 2016 - 19:12:03 EST,22 Nov 2016 - 19:13:06 EST,0h 1m 3s,0h 0m 59s,1479859923,1479859986,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,71.118.60.210,1366,,R_2aWXq3Mie4bhdkE,R_2aWXq3Mie4bhdkE,1,No,3,2,3,2,2,3,3,3,3,3,3,3,3,1,2,1,117,CBC2_1479576680_6,,8,3,5,3,3,3,4,3,3,3,5,2,4,3,4,3
1,156,22 Nov 2016 - 20:42:07 EST,22 Nov 2016 - 20:44:39 EST,0h 2m 32s,0h 2m 29s,1479865327,1479865479,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",Windows 7,Chrome 54.0.2840.87,206.121.193.30,1094,,R_2bUUePzIuTdwixW,R_2bUUePzIuTdwixW,1,Yes,1,1,1,2,1,3,1,3,1,1,1,2,2,2,2,1,156,CBC2_1479576680_6,,18,10,6,9,8,17,11,17,12,5,7,5,12,4,4,4
1,32,22 Nov 2016 - 16:34:29 EST,22 Nov 2016 - 16:37:47 EST,0h 3m 18s,0h 3m 16s,1479850469,1479850667,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.11.6,Chrome 54.0.2840.98,173.241.28.74,1366,,R_2c1TpBwmscUxgZI,R_2c1TpBwmscUxgZI,1,No,1,4,3,3,2,3,4,3,4,2,3,4,4,1,2,4,32,CBC2_1479576680_6,,17,13,17,16,10,12,13,12,7,14,12,11,9,12,11,10
1,148,22 Nov 2016 - 19:58:15 EST,22 Nov 2016 - 20:01:13 EST,0h 2m 58s,0h 2m 57s,1479862695,1479862873,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 8.1,Chrome 54.0.2840.99,76.167.61.7,1280,,R_2DOYP4MOXJ8I38U,R_2DOYP4MOXJ8I38U,1,No,2,4,3,4,4,1,4,3,2,4,1,4,4,3,1,4,148,CBC2_1479576680_6,,21,14,11,10,17,17,5,11,10,7,9,8,8,11,9,9
1,115,22 Nov 2016 - 19:07:55 EST,22 Nov 2016 - 19:11:45 EST,0h 3m 50s,0h 3m 48s,1479859675,1479859905,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Mac OS X 10.11.6,Safari 10.0.1,67.49.45.209,1920,,R_2fxKAe8Any8Mp2k,R_2fxKAe8Any8Mp2k,1,No,4,4,3,1,4,4,1,3,4,1,4,4,1,4,2,4,115,CBC2_1479576680_6,,23,29,13,14,11,9,16,15,14,24,9,9,11,9,10,12
1,136,22 Nov 2016 - 19:38:49 EST,22 Nov 2016 - 19:41:45 EST,0h 2m 56s,0h 2m 53s,1479861529,1479861705,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,64.203.43.78,815,,R_2P0BevLQTnhYKom,R_2P0BevLQTnhYKom,1,No,2,4,1,4,3,4,4,4,2,4,2,1,3,4,1,4,136,CBC2_1479576680_6,,15,11,15,12,22,14,7,7,8,11,9,9,8,8,8,9
1,101,22 Nov 2016 - 18:42:25 EST,22 Nov 2016 - 18:45:04 EST,0h 2m 39s,0h 2m 37s,1479858145,1479858304,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Windows 10.0,MSIE 11.0,104.172.19.204,1448,,R_2pREyg2smqVLVjq,R_2pREyg2smqVLVjq,1,No,2,2,3,2,4,1,2,3,1,2,2,2,4,4,3,4,101,CBC2_1479576680_6,,10,9,45,7,7,9,5,15,7,6,5,8,6,5,7,6
1,105,22 Nov 2016 - 18:48:58 EST,22 Nov 2016 - 18:54:06 EST,0h 5m 8s,0h 5m 5s,1479858538,1479858846,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Windows 7,MSIE 11.0,71.232.229.31,1366,,R_2QA5eGLEQFG3ZX0,R_2QA5eGLEQFG3ZX0,1,No,3,1,3,2,1,2,2,3,3,1,3,4,2,1,1,2,105,CBC2_1479576680_6,,24,20,20,11,16,11,28,36,15,10,25,9,52,9,8,11
