Valid,sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,pid,solar,InstallerCBC_Random1,InstallerCBC_Random2,InstallerCBC_Random3,InstallerCBC_Random4,InstallerCBC_Random5,InstallerCBC_Random6,InstallerCBC_Random7,InstallerCBC_Fixed1,InstallerCBC_Random8,InstallerCBC_Random9,InstallerCBC_Random10,InstallerCBC_Random11,InstallerCBC_Random12,InstallerCBC_Random13,InstallerCBC_Random14,InstallerCBC_Random15,sys_CBCVersion_InstallerCBC,sys_CBCDesignID_InstallerCBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
1,55,22 Nov 2016 - 17:05:15 EST,22 Nov 2016 - 17:08:58 EST,0h 3m 43s,0h 3m 40s,1479852315,1479852538,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,99.64.172.8,1600,,R_0Il0wTWoqYoqIox,No,3,2,4,4,4,4,2,3,4,4,4,2,4,4,4,4,55,CBC1_1474925155_6,,54,24,13,11,29,7,12,9,6,7,6,13,6,6,9,8
1,39,22 Nov 2016 - 16:34:15 EST,22 Nov 2016 - 16:39:22 EST,0h 5m 7s,0h 5m 6s,1479850455,1479850762,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 5.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows XP,Firefox 50.0,68.189.32.91,1024,,R_12DM9cYRbERl70d,No,2,4,3,1,1,4,1,3,1,3,3,1,4,4,2,2,39,CBC1_1474925155_6,,31,27,31,16,16,17,25,18,17,12,17,15,23,8,18,15
1,79,22 Nov 2016 - 17:41:27 EST,22 Nov 2016 - 17:43:32 EST,0h 2m 5s,0h 2m 4s,1479854487,1479854612,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,72.47.20.25,1366,,R_1BVo5gqwQe36lox,Yes,1,3,3,2,3,1,2,3,1,1,1,3,4,3,1,3,79,CBC1_1474925155_6,,12,9,8,5,6,7,7,10,6,5,5,11,8,8,7,10
1,129,22 Nov 2016 - 19:13:17 EST,22 Nov 2016 - 19:25:10 EST,0h 11m 53s,0h 11m 53s,1479859997,1479860710,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,45.48.59.37,1680,,R_1Cp55fmGoi0OoOj,No,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4,129,CBC1_1474925155_6,,273,60,12,35,23,11,20,18,8,24,5,7,177,6,24,10
1,24,22 Nov 2016 - 16:04:01 EST,22 Nov 2016 - 16:07:44 EST,0h 3m 43s,0h 3m 43s,1479848641,1479848864,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,130.65.109.111,1366,,R_1excQwWLW5FCDaV,No,1,2,4,3,4,2,4,3,1,4,1,4,1,3,3,4,24,CBC1_1474925155_6,,26,17,29,23,18,9,7,12,11,9,9,8,13,11,12,9
1,41,22 Nov 2016 - 16:39:24 EST,22 Nov 2016 - 16:46:07 EST,0h 6m 43s,0h 6m 43s,1479850764,1479851167,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,97.84.107.234,1344,,R_1fa1mEj3LFfy9Tv,No,4,1,4,4,1,3,4,3,4,4,3,4,4,4,4,4,41,CBC1_1474925155_6,,65,46,27,48,13,33,22,19,12,20,13,13,18,21,16,17
1,67,22 Nov 2016 - 17:15:25 EST,22 Nov 2016 - 17:19:02 EST,0h 3m 37s,0h 3m 36s,1479852925,1479853142,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",iOS 9.3.5,Safari 9.0,71.93.240.27,768,,R_1gNGin72iadR9X2,No,3,1,2,2,3,2,3,3,1,4,2,4,3,4,4,3,67,CBC1_1474925155_6,,23,22,7,10,10,12,13,11,12,13,14,30,10,13,8,8
1,108,22 Nov 2016 - 18:45:22 EST,22 Nov 2016 - 18:52:39 EST,0h 7m 17s,0h 8m 6s,1479858322,1479858759,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,72.74.207.175,1024,,R_1GOoMLxg1hICmpk,No,1,2,2,4,3,1,3,3,4,3,4,3,2,4,1,3,108,CBC1_1474925155_6,,48,23,21,20,80,39,28,26,13,34,25,21,20,23,17,23
1,46,22 Nov 2016 - 16:50:08 EST,22 Nov 2016 - 16:52:44 EST,0h 2m 36s,0h 2m 32s,1479851408,1479851564,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4",iOS 8.1.2,Safari 8.0,108.7.222.14,768,,R_1gRNfqN6snnfXGj,No,3,1,3,3,3,1,3,3,3,2,3,3,2,1,1,3,46,CBC1_1474925155_6,,9,6,7,4,11,31,6,4,4,8,6,7,12,8,23,6
1,143,22 Nov 2016 - 19:34:57 EST,22 Nov 2016 - 19:43:58 EST,0h 9m 1s,0h 8m 58s,1479861297,1479861838,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,75.134.12.149,1360,,R_1gvgBsVFhMuzCCN,No,2,1,2,1,2,3,1,3,2,2,2,3,3,2,1,3,143,CBC1_1474925155_6,,73,40,32,33,31,45,36,25,28,49,20,20,30,22,27,27
1,51,22 Nov 2016 - 16:55:31 EST,22 Nov 2016 - 17:08:25 EST,0h 12m 54s,0h 12m 54s,1479851731,1479852505,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; rv:49.0) Gecko/20100101 Firefox/49.0,Windows 10.0,Firefox 49.0,47.142.175.141,1536,,R_1HuFE2hFIAw0RYF,No,1,2,3,3,2,4,3,3,4,3,4,4,3,3,4,4,51,CBC1_1474925155_6,,99,45,42,34,45,20,90,61,57,26,58,34,79,48,14,22
1,85,22 Nov 2016 - 17:50:47 EST,22 Nov 2016 - 17:55:02 EST,0h 4m 15s,0h 4m 15s,1479855047,1479855302,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,47.154.168.39,1280,,R_1jANTm6yTtMmOiy,No,1,2,1,2,1,3,3,3,2,3,3,1,1,2,1,3,85,CBC1_1474925155_6,,59,19,14,20,9,11,11,20,12,12,11,8,11,10,20,8
1,29,22 Nov 2016 - 16:24:00 EST,22 Nov 2016 - 16:27:30 EST,0h 3m 30s,0h 3m 29s,1479849840,1479850050,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 7,Firefox 50.0,162.236.134.176,1130,,R_1JPYEnDoCXp9Sbv,No,3,4,4,1,2,4,4,3,4,1,3,3,4,4,2,3,29,CBC1_1474925155_6,,38,13,24,13,18,15,7,8,7,8,10,10,9,7,9,13
1,50,22 Nov 2016 - 16:53:24 EST,22 Nov 2016 - 16:56:54 EST,0h 3m 30s,0h 3m 29s,1479851604,1479851814,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",Windows 10.0,Chrome 54.0.2840.71,107.204.218.82,1263,,R_1Lha0flgAUtKif1,No,1,1,3,2,4,1,1,3,1,4,3,2,1,1,1,2,50,CBC1_1474925155_6,,21,25,6,7,21,29,13,7,9,8,15,6,11,10,11,10
1,72,22 Nov 2016 - 17:25:52 EST,22 Nov 2016 - 17:38:40 EST,0h 12m 48s,0h 12m 47s,1479853552,1479854320,1,5,,ToQualtrics,1,"Mozilla/5.0 (Linux; Android 4.4.2; SM-T217S Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Safari/537.36",Android 4.4.2,Chrome 50.0.2661.89,73.170.60.229,600,,R_1mDy8tgdIe7CEd9,No,2,1,1,1,1,4,1,3,2,1,4,2,4,3,3,3,72,CBC1_1474925155_6,,177,49,44,64,71,57,54,14,58,48,14,13,15,31,17,41
1,148,22 Nov 2016 - 19:41:56 EST,22 Nov 2016 - 19:46:04 EST,0h 4m 8s,0h 4m 6s,1479861716,1479861964,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,162.224.158.27,1024,,R_1o290F53uvNACJV,No,1,3,2,1,3,2,3,3,1,2,3,1,1,3,2,2,148,CBC1_1474925155_6,,24,14,15,12,14,8,6,13,9,23,14,47,15,12,9,11
1,80,22 Nov 2016 - 17:42:39 EST,22 Nov 2016 - 17:48:47 EST,0h 6m 8s,0h 6m 8s,1479854559,1479854927,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,38.95.109.58,1440,,R_1o58b2hAeYM8E6c,No,1,3,2,3,3,3,2,3,1,3,2,1,1,2,3,2,80,CBC1_1474925155_6,,112,8,82,12,27,12,17,24,13,7,8,11,8,8,11,8
1,83,22 Nov 2016 - 17:47:27 EST,22 Nov 2016 - 17:50:27 EST,0h 3m 0s,0h 2m 56s,1479854847,1479855027,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,50.189.235.191,1440,,R_1pVCT2f3rfjDRiT,Yes,1,2,4,2,3,4,3,3,4,1,1,3,4,3,3,3,83,CBC1_1474925155_6,,20,17,16,17,14,12,10,8,7,10,8,9,8,6,9,5
1,31,22 Nov 2016 - 16:26:17 EST,22 Nov 2016 - 16:28:47 EST,0h 2m 30s,0h 2m 28s,1479849977,1479850127,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.10.5,Chrome 54.0.2840.98,108.243.189.148,1280,,R_1pVYWpWu940qOBO,No,2,1,1,2,2,2,1,3,2,2,2,2,3,3,3,3,31,CBC1_1474925155_6,,24,11,11,9,6,9,9,9,5,10,6,4,4,10,16,5
1,71,22 Nov 2016 - 17:19:48 EST,22 Nov 2016 - 17:23:14 EST,0h 3m 26s,0h 3m 25s,1479853188,1479853394,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,68.4.227.11,1024,,R_1QsXaC2BWLixnfK,No,3,1,1,3,1,4,2,3,2,2,2,3,2,3,3,3,71,CBC1_1474925155_6,,20,44,8,13,8,11,9,12,10,9,12,7,7,8,13,14
1,36,22 Nov 2016 - 16:31:48 EST,22 Nov 2016 - 16:40:16 EST,0h 8m 28s,0h 8m 28s,1479850308,1479850816,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,24.60.63.207,1131,,R_22LALLkxQVJO2Bg,No,2,3,2,2,1,3,1,4,3,1,1,3,1,3,4,4,36,CBC1_1474925155_6,,68,45,50,54,20,35,32,12,13,36,37,29,20,23,7,27
1,53,22 Nov 2016 - 16:59:55 EST,22 Nov 2016 - 17:03:51 EST,0h 3m 56s,0h 3m 53s,1479851995,1479852231,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,173.166.31.14,1600,,R_23m6pWx4WVet4J3,No,3,1,1,1,1,3,1,3,1,3,3,3,2,2,1,1,53,CBC1_1474925155_6,,18,8,6,7,11,64,8,6,5,8,8,57,4,10,6,7
1,59,22 Nov 2016 - 17:09:55 EST,22 Nov 2016 - 17:22:42 EST,0h 12m 47s,0h 12m 45s,1479852595,1479853362,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; yie10; rv:11.0) like Gecko,Windows 10.0,MSIE 11.0,108.197.232.203,1079,,R_241pEL4Bpd2Jf3P,No,3,1,4,4,2,4,3,3,4,2,4,4,4,4,4,4,59,CBC1_1474925155_6,,264,69,71,55,25,37,37,17,19,24,23,17,23,54,13,17
1,125,22 Nov 2016 - 19:09:55 EST,22 Nov 2016 - 19:13:14 EST,0h 3m 19s,0h 3m 16s,1479859795,1479859994,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,108.20.152.246,1349,,R_248bsatWMYb9KCc,No,1,2,3,3,2,1,2,3,3,1,1,2,1,2,3,3,125,CBC1_1474925155_6,,28,16,9,13,10,8,8,10,11,13,12,18,10,10,11,9
1,43,22 Nov 2016 - 16:40:18 EST,22 Nov 2016 - 16:43:48 EST,0h 3m 30s,0h 3m 27s,1479850818,1479851028,1,5,,ToQualtrics,1,"Mozilla/5.0 (Linux; Android 5.1.1; KFARWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/53.3.5 like Chrome/53.0.2785.134 Safari/537.36",Android 5.1.1,Chrome 53.0.2785.134,75.83.64.84,812,,R_24pfE4tct3bvlh7,No,2,1,2,3,3,1,3,3,2,1,1,1,2,2,2,3,43,CBC1_1474925155_6,,33,30,10,20,10,9,11,8,8,8,6,7,17,12,9,9
1,162,22 Nov 2016 - 20:18:23 EST,22 Nov 2016 - 20:20:53 EST,0h 2m 30s,0h 2m 30s,1479863903,1479864053,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.10.5,Chrome 54.0.2840.98,68.186.250.17,1351,,R_28M0LlA38QPncLg,No,1,4,1,1,4,3,3,3,4,4,2,4,2,1,4,2,162,CBC1_1474925155_6,,26,9,10,9,7,10,8,10,9,5,11,5,6,7,10,8
1,54,22 Nov 2016 - 17:04:42 EST,22 Nov 2016 - 17:12:16 EST,0h 7m 34s,0h 7m 34s,1479852282,1479852736,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",,Safari 602.1,108.207.0.207,1024,,R_28OE3HUpyuPLoqr,No,2,3,3,4,4,2,1,3,3,4,4,4,4,4,3,3,54,CBC1_1474925155_6,,70,78,25,41,25,18,23,21,41,13,11,17,11,17,28,15
1,73,22 Nov 2016 - 17:29:45 EST,22 Nov 2016 - 17:35:32 EST,0h 5m 47s,0h 5m 43s,1479853785,1479854132,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; MAGWJS; rv:11.0) like Gecko,Windows 8.1,MSIE 11.0,97.71.76.171,1266,,R_29olcwdyxcyrR6A,No,1,4,3,1,3,4,1,3,3,1,4,2,4,3,4,3,73,CBC1_1474925155_6,,58,33,18,20,45,13,11,18,21,10,26,16,11,17,13,13
1,113,22 Nov 2016 - 18:54:11 EST,22 Nov 2016 - 19:03:07 EST,0h 8m 56s,0h 8m 54s,1479858851,1479859387,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,98.216.126.215,1536,,R_2A0TAzTKKeysBog,No,3,3,2,2,1,2,3,3,3,2,3,1,1,3,3,1,113,CBC1_1474925155_6,,73,53,21,31,31,32,69,33,32,20,32,17,23,18,31,18
1,126,22 Nov 2016 - 19:12:04 EST,22 Nov 2016 - 19:17:11 EST,0h 5m 7s,0h 5m 7s,1479859924,1479860231,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 7,Firefox 50.0,104.35.135.222,1112,,R_2aJEqiwBNWlTs0m,No,2,1,3,3,4,4,4,3,3,3,1,2,4,3,2,3,126,CBC1_1474925155_6,,25,27,20,43,22,20,23,11,13,15,19,11,17,15,13,13
1,102,22 Nov 2016 - 18:32:44 EST,22 Nov 2016 - 18:35:07 EST,0h 2m 23s,0h 2m 20s,1479857564,1479857707,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",Windows 10.0,Edge 13.10586,107.185.206.245,1536,,R_2aqXku8h2SDx6IJ,No,2,1,1,4,4,4,1,3,4,2,4,4,3,4,2,4,102,CBC1_1474925155_6,,20,10,11,6,15,6,10,9,6,12,5,5,9,5,5,6
1,138,22 Nov 2016 - 19:31:02 EST,22 Nov 2016 - 19:35:09 EST,0h 4m 7s,0h 4m 4s,1479861062,1479861309,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,73.100.81.86,1366,,R_2aUMIpBghNiYnqq,No,4,1,4,1,4,2,1,3,1,2,1,1,3,1,4,3,138,CBC1_1474925155_6,,28,25,33,11,18,16,12,11,17,7,11,10,17,12,8,8
1,119,22 Nov 2016 - 19:05:39 EST,22 Nov 2016 - 19:07:08 EST,0h 1m 29s,0h 1m 28s,1479859539,1479859628,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 7,Chrome 54.0.2840.99,71.118.60.210,1366,,R_2aWXq3Mie4bhdkE,No,2,2,2,3,3,1,3,3,2,3,2,1,3,3,2,3,119,CBC1_1474925155_6,,26,3,3,6,3,4,3,6,5,5,4,4,4,5,4,3
1,163,22 Nov 2016 - 20:38:04 EST,22 Nov 2016 - 20:40:48 EST,0h 2m 44s,0h 2m 44s,1479865084,1479865248,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",Windows 7,Chrome 54.0.2840.87,206.121.193.30,1094,,R_2bUUePzIuTdwixW,Yes,2,2,3,1,1,2,1,3,2,1,1,2,1,3,3,2,163,CBC1_1474925155_6,,11,11,11,6,4,4,13,22,10,7,7,26,6,4,15,7
1,33,22 Nov 2016 - 16:27:55 EST,22 Nov 2016 - 16:32:19 EST,0h 4m 24s,0h 4m 23s,1479850075,1479850339,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Mac OS X 10.11.6,Chrome 54.0.2840.98,173.241.28.74,1366,,R_2c1TpBwmscUxgZI,No,4,3,1,1,1,1,1,3,2,3,4,1,3,4,3,3,33,CBC1_1474925155_6,,20,18,12,16,15,12,15,26,17,17,25,12,15,16,12,15
1,150,22 Nov 2016 - 19:44:43 EST,22 Nov 2016 - 19:52:55 EST,0h 8m 12s,0h 8m 11s,1479861883,1479862375,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 8.1,Chrome 54.0.2840.99,76.167.61.7,1263,,R_2DOYP4MOXJ8I38U,No,3,4,2,4,3,1,4,3,4,3,4,2,1,3,4,4,150,CBC1_1474925155_6,,24,23,29,41,14,32,10,24,18,14,26,17,24,13,51,131
1,115,22 Nov 2016 - 19:00:53 EST,22 Nov 2016 - 19:04:47 EST,0h 3m 54s,0h 3m 52s,1479859253,1479859487,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Mac OS X 10.11.6,Safari 10.0.1,67.49.45.209,1920,,R_2fxKAe8Any8Mp2k,No,4,4,4,2,3,2,4,3,4,1,2,4,2,4,4,4,115,CBC1_1474925155_6,,39,20,11,16,24,12,10,12,10,12,14,9,10,8,10,15
1,142,22 Nov 2016 - 19:33:49 EST,22 Nov 2016 - 19:36:19 EST,0h 2m 30s,0h 2m 29s,1479861229,1479861379,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,64.203.43.78,815,,R_2P0BevLQTnhYKom,No,2,1,4,4,4,1,4,3,2,4,4,4,4,4,4,4,142,CBC1_1474925155_6,,16,20,10,8,8,11,8,8,9,4,4,10,6,8,8,11
1,103,22 Nov 2016 - 18:37:34 EST,22 Nov 2016 - 18:40:11 EST,0h 2m 37s,0h 2m 37s,1479857854,1479858011,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Windows 10.0,MSIE 11.0,104.172.19.204,1448,,R_2pREyg2smqVLVjq,No,3,1,4,1,1,4,3,3,4,1,4,4,4,1,2,1,103,CBC1_1474925155_6,,19,11,10,9,10,7,9,14,9,10,7,10,7,11,7,7
1,105,22 Nov 2016 - 18:41:26 EST,22 Nov 2016 - 18:45:30 EST,0h 4m 4s,0h 4m 4s,1479858086,1479858330,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Windows 7,MSIE 11.0,71.232.229.31,1349,,R_2QA5eGLEQFG3ZX0,No,3,2,2,2,2,4,3,3,4,4,3,3,2,1,1,3,105,CBC1_1474925155_6,,46,13,16,14,9,8,9,10,22,17,19,20,12,8,11,10
